id_census,id_shapefile
36005021602,2021602
36005021700,2021700
36005021800,2021800
36005021900,2021900
36005022000,2022000
36005022101,2022101
36005022102,2022102
36005022200,2022200
36005022300,2022300
36005022401,2022401
36005022403,2022403
36005022404,2022404
36005022500,2022500
36005022701,2022701
36005022702,2022702
36005022703,2022703
36005022800,2022800
36005022901,2022901
36005022902,2022902
36005023000,2023000
36005023100,2023100
36005023200,2023200
36005023301,2023301
36005023302,2023302
36005023501,2023501
36005023502,2023502
36005023600,2023600
36005023702,2023702
36005023703,2023703
36005023704,2023704
36005023800,2023800
36005023900,2023900
36005024000,2024000
36005024100,2024100
36005024300,2024300
36005024400,2024400
36005024501,2024501
36005024502,2024502
36005024600,2024600
36005024700,2024700
36005024800,2024800
36005024900,2024900
36005025000,2025000
36005025100,2025100
36005025200,2025200
36005025300,2025300
36005025400,2025400
36005025500,2025500
36005025600,2025600
36005025700,2025700
36005026100,2026100
36005026300,2026300
36005026400,2026400
36005026500,2026500
36005026601,2026601
36005026602,2026602
36005026701,2026701
36005026702,2026702
36005026900,2026900
36005027300,2027300
36005027401,2027401
36005027402,2027402
36005027600,2027600
36005027700,2027700
36005027900,2027900
36005028100,2028100
36005028300,2028300
36005028400,2028400
36005028500,2028500
36005028600,2028600
36005028700,2028700
36005028800,2028800
36005028900,2028900
36005029301,2029301
36005029302,2029302
36005029500,2029500
36005029600,2029600
36005029700,2029700
36005030000,2030000
36005030100,2030100
36005030200,2030200
36005030701,2030701
36005030900,2030900
36005031000,2031000
36005031200,2031200
36005031400,2031400
36005031600,2031600
36005031800,2031800
36005031900,2031900
36005032300,2032300
36005032400,2032400
36005032600,2032600
36005032800,2032800
36005033000,2033000
36005033201,2033201
36005033202,2033202
36005033400,2033400
36005033500,2033500
36005033600,2033600
36005033700,2033700
36005033800,2033800
36005034000,2034000
36005034200,2034200
36005034300,2034300
36005034400,2034400
36005034500,2034500
36005034800,2034800
36005035000,2035000
36005035100,2035100
36005035600,2035600
36005035800,2035800
36005035900,2035900
36005036000,2036000
36005036100,2036100
36005036300,2036300
36005036400,2036400
36005036501,2036501
36005036502,2036502
36005036700,2036700
36005036800,2036800
36005036901,2036901
36005036902,2036902
36005037000,2037000
36005037100,2037100
36005037200,2037200
36005037300,2037300
36005037400,2037400
36005037504,2037504
36005037600,2037600
36005037800,2037800
