borough,CT,NTA
Brooklyn,3025901,BK75
Brooklyn,3025902,BK75
Brooklyn,3026100,BK75
Brooklyn,3026300,BK75
Brooklyn,3026500,BK75
Brooklyn,3026700,BK75
Brooklyn,3026900,BK75
Brooklyn,3050700,BK75
Brooklyn,3053100,BK75
Brooklyn,3123700,BK75
Brooklyn,3029800,BK29
Brooklyn,3030000,BK29
Brooklyn,3030200,BK29
Brooklyn,3030400,BK29
Brooklyn,3040000,BK29
Brooklyn,3040200,BK29
Brooklyn,3040400,BK29
Brooklyn,3040600,BK29
Brooklyn,3040800,BK29
Brooklyn,3041000,BK29
Brooklyn,3041200,BK29
Brooklyn,3042400,BK29
Brooklyn,3042600,BK29
Brooklyn,3042800,BK29
Brooklyn,3043000,BK29
Brooklyn,3043200,BK29
Brooklyn,3043400,BK29
Brooklyn,3043600,BK29
Brooklyn,3018200,BK28
Brooklyn,3018400,BK28
Brooklyn,3018600,BK28
Brooklyn,3018800,BK28
Brooklyn,3019000,BK28
Brooklyn,3024800,BK28
Brooklyn,3025000,BK28
Brooklyn,3025200,BK28
Brooklyn,3025400,BK28
Brooklyn,3025600,BK28
Brooklyn,3025800,BK28
Brooklyn,3026000,BK28
Brooklyn,3026200,BK28
Brooklyn,3026400,BK28
Brooklyn,3026600,BK28
Brooklyn,3026800,BK28
Brooklyn,3027000,BK28
Brooklyn,3027200,BK28
Brooklyn,3027400,BK28
Brooklyn,3027600,BK28
Brooklyn,3027800,BK28
Brooklyn,3028400,BK28
Brooklyn,3028800,BK28
Brooklyn,3029000,BK28
Brooklyn,3029400,BK28
Brooklyn,3029600,BK28
Brooklyn,3011400,BK88
Brooklyn,3011600,BK88
Brooklyn,3019200,BK88
Brooklyn,3021400,BK88
Brooklyn,3021600,BK88
Brooklyn,3021800,BK88
Brooklyn,3022000,BK88
Brooklyn,3022200,BK88
Brooklyn,3022400,BK88
Brooklyn,3022600,BK88
Brooklyn,3022800,BK88
Brooklyn,3023000,BK88
Brooklyn,3023200,BK88
Brooklyn,3023400,BK88
Brooklyn,3023600,BK88
Brooklyn,3023800,BK88
Brooklyn,3024000,BK88
Brooklyn,3024200,BK88
Brooklyn,3024400,BK88
Brooklyn,3024600,BK88
Brooklyn,3044600,BK88
Brooklyn,3046400,BK88
Brooklyn,3046800,BK88
Brooklyn,3047000,BK88
Brooklyn,3047200,BK88
Brooklyn,3047400,BK88
Brooklyn,3047600,BK88
Brooklyn,3047800,BK88
Brooklyn,3036001,BK19
Brooklyn,3036002,BK19
Brooklyn,3036200,BK19
Brooklyn,3036400,BK19
Brooklyn,3036600,BK19
Brooklyn,3037000,BK19
Brooklyn,3061002,BK19
Brooklyn,3061003,BK19
Brooklyn,3061004,BK19
Brooklyn,3000100,BK09
Brooklyn,3000301,BK09
Brooklyn,3000501,BK09
Brooklyn,3000502,BK09
Brooklyn,3000700,BK09
Brooklyn,3000900,BK09
Brooklyn,3089200,BK81
Brooklyn,3089400,BK81
Brooklyn,3089600,BK81
Brooklyn,3089800,BK81
Brooklyn,3090000,BK81
Brooklyn,3090200,BK81
Brooklyn,3090600,BK81
Brooklyn,3090800,BK81
Brooklyn,3091000,BK81
Brooklyn,3091200,BK81
Brooklyn,3091600,BK81
Brooklyn,3091800,BK81
Brooklyn,3092000,BK81
Brooklyn,3092200,BK81
Brooklyn,3092400,BK81
Brooklyn,3040900,BK77
Brooklyn,3042700,BK77
Brooklyn,3042900,BK77
Brooklyn,3043100,BK77
Brooklyn,3043300,BK77
Brooklyn,3043500,BK77
Brooklyn,3043700,BK77
Brooklyn,3043900,BK77
Brooklyn,3044100,BK77
Brooklyn,3044300,BK77
Brooklyn,3044500,BK77
Brooklyn,3044700,BK77
Brooklyn,3045300,BK77
Brooklyn,3028501,BK78
Brooklyn,3038900,BK78
Brooklyn,3039100,BK78
Brooklyn,3039300,BK78
Brooklyn,3039500,BK78
Brooklyn,3039700,BK78
Brooklyn,3039900,BK78
Brooklyn,3040100,BK78
Brooklyn,3040300,BK78
Brooklyn,3040500,BK78
Brooklyn,3041100,BK78
Brooklyn,3041300,BK78
Brooklyn,3041500,BK78
Brooklyn,3041700,BK78
Brooklyn,3041900,BK78
Brooklyn,3042100,BK78
Brooklyn,3042300,BK78
Brooklyn,3042500,BK78
Brooklyn,3048500,BK78
Brooklyn,3048900,BK78
Brooklyn,3049300,BK78
Brooklyn,3095000,BK50
Brooklyn,3095400,BK50
Brooklyn,3095600,BK50
Brooklyn,3095800,BK50
Brooklyn,3096000,BK50
Brooklyn,3096200,BK50
Brooklyn,3096400,BK50
Brooklyn,3096600,BK50
Brooklyn,3096800,BK50
Brooklyn,3097000,BK50
Brooklyn,3097400,BK50
Brooklyn,3098200,BK50
Brooklyn,3098400,BK50
